Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
Syvhøjevej 85,"Højby, 5260 Odense S",1361700.0,2024,115,3,1,Familiehandel
Damhusvej 12,5000 Odense C,1575000.0,2024,133,4,2,Familiehandel
Musvågevej 5A,"Snestrup, 5210 Odense NV",720000.0,2024,55,2,1,Familiehandel
"Buchwaldsgade 11, 3.",5000 Odense C,1800000.0,2024,109,3,1,Familiehandel
Varpytvej 75,"Birkum, 5220 Odense SØ",1325000.0,2024,174,6,2,Familiehandel
Colbjørnsensvej 10,5000 Odense C,3692500.0,2024,180,6,2,Familiehandel
Strand Allé 23,"Seden, 5240 Odense NØ",741000.0,2024,110,6,1,Familiehandel
Saxovej 62,"Højstrup, 5210 Odense NV",1395000.0,2024,90,4,1,Familiehandel
Fredskovvej 3,"Allesø, 5270 Odense N",715000.0,2024,159,7,2,Familiehandel
Utzons Allé 74,5240 Odense NØ,1897500.0,2024,181,6,2,Familiehandel
Rullekrovej 35,"Søhus, 5270 Odense N",1569000.0,2024,85,4,1,Familiehandel
H.P. Simonsens Allé 45,"Sanderum, 5250 Odense SV",1625000.0,2024,124,5,1,Familiehandel
Skippervej 18,"Stige, 5270 Odense N",850000.0,2024,76,3,2,Familiehandel
Langegade 31,5000 Odense C,987000.0,2024,73,3,1,Familiehandel
Søparken 64,"Hjallese, 5260 Odense S",1363399.0,2024,160,5,2,Familiehandel
Bergthorasvej 12,"Tarup, 5210 Odense NV",991500.0,2024,100,4,2,Familiehandel
Væbnerhatten 106,"Tornbjerg, 5220 Odense SØ",1428000.0,2024,134,4,2,Familiehandel
Bullerupvej 41,"Seden, 5240 Odense NØ",1100000.0,2024,127,4,1,Familiehandel
Groløkkevænget 71,"Søhus, 5270 Odense N",1300000.0,2024,100,5,2,Familiehandel
Ravnebjerggyden 197,"Brændekilde, 5250 Odense SV",1105000.0,2024,180,9,1,Familiehandel
Næsbyhave 35,"Næsby, 5270 Odense N",150000.0,2024,97,5,1,Familiehandel
"Floravænget 2, 2.","Dalum, 5250 Odense SV",765000.0,2024,61,2,1,Familiehandel
"Ny Vestergade 2A, 1. tv.",5000 Odense C,6748848.0,2024,64,2,1,Familiehandel
"Vestergade 102, 1. th.",5000 Odense C,6748848.0,2024,102,3,1,Familiehandel
"Vestergade 102, 1. mf.",5000 Odense C,6748848.0,2024,148,3,1,Familiehandel
"Ny Vestergade 2A, 2. tv.",5000 Odense C,6748848.0,2024,51,2,1,Familiehandel
"Ny Vestergade 2A, st.",5000 Odense C,6748848.0,2024,67,2,1,Familiehandel
"Vestergade 102, 1. tv.",5000 Odense C,6748848.0,2024,54,2,1,Familiehandel
"Ny Vestergade 2B, 1. tv.",5000 Odense C,6748848.0,2024,102,3,1,Familiehandel
"Ny Vestergade 2B, 1. th.",5000 Odense C,6748848.0,2024,100,3,1,Familiehandel
"Ny Vestergade 2A, 2. th.",5000 Odense C,6748848.0,2024,51,2,1,Familiehandel
Ny Vestergade 2D,5000 Odense C,6748848.0,2024,56,2,1,Familiehandel
"Ny Vestergade 2A, 1. th.",5000 Odense C,6748848.0,2024,52,2,1,Familiehandel
Bakkeskråningen 41,"Næsby, 5270 Odense N",1250000.0,2024,120,4,2,Familiehandel
Søballevej 79,"Næsbyhoved-Broby, 5270 Odense N",4795000.0,2024,306,9,2,Familiehandel
Thomas Overskous Vej 28,5000 Odense C,1169940.0,2024,150,7,2,Familiehandel
"Floravænget 25, 2. th.","Dalum, 5250 Odense SV",1400000.0,2024,79,3,1,Familiehandel
Tyrsbjergvej 80,"Villestofte, 5210 Odense NV",1460000.0,2024,147,6,2,Familiehandel
Hesbjergvej 10,"Hesbjerg, 5491 Blommenslyst",695000.0,2024,105,4,1,Familiehandel
"Toftevej 18F, st.",5220 Odense SØ,875000.0,2024,115,4,1,Familiehandel
Goldschmidtsvænget 11,5230 Odense M,5250000.0,2024,180,7,2,Familiehandel
Næsby Skovvænge 31,"Næsby, 5270 Odense N",1279200.0,2024,85,4,2,Familiehandel
Skovhaven 55,"Bullerup, 5320 Agedrup",925200.0,2024,206,7,2,Familiehandel
"Poppelvej 29, st. tv.",5230 Odense M,2960000.0,2024,54,2,1,Familiehandel
"Poppelvej 29, 1.",5230 Odense M,2960000.0,2024,108,4,1,Familiehandel
"Poppelvej 29, st. th.",5230 Odense M,2960000.0,2024,54,2,1,Familiehandel
Tommerupvej 220,"Ernebjerg, 5491 Blommenslyst",395250.0,2024,154,5,2,Familiehandel
Niels Bjerres Vænge 14,5220 Odense SØ,1107600.0,2024,92,4,1,Familiehandel
Mindelundsvej 36,"Seden, 5240 Odense NØ",1200000.0,2024,84,4,1,Familiehandel
Fangelvej 82,"Fangel, 5260 Odense S",775000.0,2024,167,6,2,Familiehandel
Sanderumvej 272,"Ravnebjerg, 5250 Odense SV",454285.0,2024,180,6,2,Familiehandel
Højvang 57,"Næsby, 5270 Odense N",840000.0,2024,74,3,1,Familiehandel
Ugletoften 191,"Højby, 5260 Odense S",657500.0,2024,63,3,1,Familiehandel
H.C. Andersens Gade 25,5000 Odense C,2500000.0,2024,193,8,3,Familiehandel
Baumgartensvej 50A,5000 Odense C,1800000.0,2024,94,3,2,Familiehandel
Sadolinsgade 36,5230 Odense M,3750000.0,2024,173,7,3,Familiehandel
Bakkeskråningen 12,"Næsby, 5270 Odense N",781254.0,2024,132,5,2,Familiehandel
Højstrupvangen 42,"Bolbro, 5200 Odense V",1125000.0,2024,61,2,1,Familiehandel
"Filosofgangen 84, 1. tv.",5000 Odense C,892500.0,2024,99,3,1,Familiehandel
Anderupvænget 49,"Anderup, 5270 Odense N",910000.0,2024,172,6,2,Familiehandel
Ubberudvej 55,"Ubberud, 5491 Blommenslyst",537625.0,2024,108,5,2,Familiehandel
Gerthasminde 52,5000 Odense C,2314400.0,2024,109,5,1,Familiehandel
Egebakken 2A,"Skt Klemens, 5260 Odense S",1700000.0,2024,196,6,2,Familiehandel
Kanefarten 45,"Lumby, 5270 Odense N",877603.0,2024,130,4,2,Familiehandel
Glamsbjergvænget 12,5230 Odense M,1800000.0,2024,106,4,1,Familiehandel
Duedalen 28,5240 Odense NØ,964750.0,2024,100,4,1,Familiehandel
Æbeløvænget 10,5000 Odense C,850000.0,2024,87,4,1,Familiehandel
Virkensbjerget 54,"Sanderum, 5250 Odense SV",1400000.0,2024,110,4,1,Familiehandel
Faaborgvej 252A,"Dyrup, 5250 Odense SV",2000000.0,2024,119,4,1,Familiehandel
Ahornvej 18,"Dyrup, 5250 Odense SV",2200000.0,2024,108,4,1,Familiehandel
Otte Ruds Vej 144,5220 Odense SØ,1150000.0,2024,68,3,1,Familiehandel
Engdraget 8,"Næsby, 5270 Odense N",1000000.0,2024,103,3,1,Familiehandel
Engblommevej 1,"Bellinge, 5250 Odense SV",900000.0,2024,121,4,1,Familiehandel
Bispeengen 69,"Anderup, 5270 Odense N",920000.0,2024,168,4,2,Familiehandel
Askvej 2,"Dyrup, 5250 Odense SV",1400000.0,2024,143,5,2,Familiehandel
Dybdevej 36,"Bolbro, 5200 Odense V",2249100.0,2024,111,5,2,Familiehandel
"Læssøegade 14, 3. th.",5000 Odense C,815000.0,2024,90,3,1,Familiehandel
"Falen 8, 2. th.",5000 Odense C,1970000.0,2024,64,2,1,Familiehandel
Varpytvej 65,"Birkum, 5220 Odense SØ",2800000.0,2024,156,4,2,Familiehandel
Skovbakken 50,"Skt Klemens, 5260 Odense S",300000.0,2024,159,5,2,Familiehandel
Skovhaven 124,"Bullerup, 5320 Agedrup",1600000.0,2024,117,4,2,Familiehandel
"Thuresensgade 1, 2. tv.",5000 Odense C,1300000.0,2024,62,2,1,Familiehandel
Lille Tornbjerg Vej 77,"Tornbjerg, 5220 Odense SØ",1545000.0,2024,105,4,1,Familiehandel
Otte Ruds Vej 13,5220 Odense SØ,1220000.0,2024,60,3,1,Familiehandel
Lodsvej 28,"Stige, 5270 Odense N",878400.0,2024,160,4,2,Familiehandel
"Æbleparken 48, 1.","Søhus, 5270 Odense N",650000.0,2024,61,2,1,Familiehandel
Præstevej 95,"Korup, 5210 Odense NV",703914.0,2024,111,5,1,Familiehandel
Grønnegyden 148,"Lumby, 5270 Odense N",1294160.0,2024,215,6,2,Familiehandel
Solbærvej 14,"Hjallese, 5260 Odense S",1078500.0,2024,96,4,1,Familiehandel
Paarupvej 16A,"Snestrup, 5210 Odense NV",1466836.0,2024,90,3,1,Familiehandel
Niels Juels Allé 102,"Sanderum, 5250 Odense SV",1550000.0,2024,127,6,2,Familiehandel
Gelskovvænget 9,5230 Odense M,1750000.0,2024,82,4,1,Familiehandel
Klaus Berntsens Vej 256,"Højby, 5260 Odense S",1750000.0,2024,177,4,2,Familiehandel
Allingtonvænget 22,"Søhus, 5270 Odense N",840000.0,2024,55,2,1,Familiehandel
Borchsvej 10,"Bolbro, 5200 Odense V",746725.0,2024,96,3,2,Familiehandel
Svalevænget 5,"Snestrup, 5210 Odense NV",1000000.0,2024,109,4,1,Familiehandel
Bødtchersvej 22,5230 Odense M,3200000.0,2024,121,5,1,Familiehandel
"Rosenørnsvej 41, 1. tv.",5230 Odense M,700000.0,2024,61,2,1,Familiehandel
Njalsvej 28,"Højstrup, 5210 Odense NV",760000.0,2024,87,4,1,Familiehandel
Pilevangen 9,"Tarup, 5210 Odense NV",3326273.0,2024,120,5,1,Familiehandel
Utzons Allé 58,5240 Odense NØ,727500.0,2024,160,5,2,Familiehandel
Munkemaen 182,"Anderup, 5270 Odense N",1800000.0,2024,77,3,1,Familiehandel
Pomosavej 33,"Søhus, 5270 Odense N",2100000.0,2024,140,5,2,Familiehandel
Bogensevej 406,"Næsbyhoved-Broby, 5270 Odense N",650000.0,2024,223,7,2,Familiehandel
Torpvej 29,"Hjallese, 5260 Odense S",1232500.0,2024,126,5,2,Familiehandel
Rugårdsvej 258,"Tarup, 5210 Odense NV",665000.0,2024,131,5,2,Familiehandel
Kildebakken 8,"Skt Klemens, 5260 Odense S",1000000.0,2024,127,4,1,Familiehandel
Saxovej 282,"Højstrup, 5210 Odense NV",800000.0,2024,84,3,1,Familiehandel
Lønnevænget 8,"Stige, 5270 Odense N",825000.0,2024,95,4,1,Familiehandel
Hybenvej 71,"Hjallese, 5260 Odense S",2000000.0,2024,130,5,2,Familiehandel
Musvågevej 46,"Snestrup, 5210 Odense NV",2300000.0,2024,132,4,1,Familiehandel
Dragebakken 22,"Sanderum, 5250 Odense SV",1217000.0,2024,156,4,2,Familiehandel
Sukkeræble Have 7,"Villestofte, 5210 Odense NV",2747500.0,2024,277,6,3,Familiehandel
Vægtens Kvarter 247,"Holluf Pile, 5220 Odense SØ",775000.0,2024,75,3,1,Familiehandel
Nørrevoldgade 27,5000 Odense C,3275000.0,2024,128,6,2,Familiehandel
Duedalen 6,5240 Odense NØ,880000.0,2024,100,4,1,Familiehandel
Havtornvænget 3,"Korup, 5210 Odense NV",701250.0,2024,173,5,1,Familiehandel
Guldrankevej 132,5200 Odense V,961381.0,2024,114,4,2,Familiehandel
Slagkrogen 13,5220 Odense SØ,900000.0,2024,166,5,2,Familiehandel
Rosenholmvænget 20,"Søhus, 5270 Odense N",645500.0,2024,85,2,1,Familiehandel
Bekkasinvej 36,"Snestrup, 5210 Odense NV",800500.0,2024,86,3,1,Familiehandel
"Døckerslundsvej 2D, 3. tv.",5000 Odense C,867000.0,2024,58,2,1,Familiehandel
Fangelvej 80,"Fangel, 5260 Odense S",1125000.0,2024,191,5,2,Familiehandel
Stenløsevej 143,"Hjallese, 5260 Odense S",860000.0,2024,111,5,1,Familiehandel
Målengen 31,"Thorup, 5220 Odense SØ",703800.0,2024,131,4,2,Familiehandel
Tranehøjen 250,"Dyrup, 5250 Odense SV",967575.0,2024,101,3,1,Familiehandel
Møllevej 16,"Skt Klemens, 5260 Odense S",693189.0,2024,129,4,1,Familiehandel
Tyrsbjergvej 90,"Korup, 5210 Odense NV",1212500.0,2024,157,5,2,Familiehandel
Tyrsbjergvej 90,"Korup, 5210 Odense NV",1212500.0,2024,157,5,2,Familiehandel
Ildfuglevænget 97A,"Hjallese, 5260 Odense S",2000000.0,2024,139,4,1,Familiehandel
Gyldenhøjen 38,"Stenløse, 5260 Odense S",3400000.0,2024,146,5,2,Familiehandel
Lettebækvej 35,"Bellinge, 5250 Odense SV",750000.0,2024,83,4,1,Familiehandel
Mølledammen 10B,"Bullerup, 5320 Agedrup",550000.0,2024,118,3,2,Familiehandel
Lotusvej 67,"Sanderum, 5250 Odense SV",1300000.0,2024,85,4,1,Familiehandel
"Munkerisvej 59, 2. th.",5230 Odense M,935000.0,2023,105,4,1,Familiehandel
"Gyldenløvesgade 13, 2. th.",5000 Odense C,1150000.0,2023,65,2,1,Familiehandel
Vårlyngen 47,"Stige, 5270 Odense N",850000.0,2023,120,4,2,Familiehandel
Colbjørnsensvej 9,5000 Odense C,2500000.0,2023,192,6,2,Familiehandel
Nr. Lyndelse Vej 18,"Højby, 5260 Odense S",1233000.0,2023,160,5,1,Familiehandel
Tjørnevej 4,5220 Odense SØ,1300000.0,2023,141,6,2,Familiehandel
"Billesgade 10, st. th.",5000 Odense C,1500000.0,2023,63,2,1,Familiehandel
Hejrevej 20,5000 Odense C,2250000.0,2023,101,3,1,Familiehandel
Herluf Trolles Vej 291B,5220 Odense SØ,945000.0,2023,85,3,1,Familiehandel
"Schacksgade 3, 2. th.",5000 Odense C,1070000.0,2023,66,3,1,Familiehandel
Moltkesvej 7,5000 Odense C,572909.0,2023,149,5,2,Familiehandel
"Christiansgade 72, 2. th.",5000 Odense C,1350000.0,2023,60,3,1,Familiehandel
"Poppelvej 24, st.",5230 Odense M,1062500.0,2023,105,3,1,Familiehandel
"Lotusvej 3, st. th.","Sanderum, 5250 Odense SV",400000.0,2023,64,2,1,Familiehandel
Morelvej 111,"Sanderum, 5250 Odense SV",1955000.0,2023,164,7,2,Familiehandel
Flintagerløkken 43,"Bellinge, 5250 Odense SV",1065000.0,2023,106,4,2,Familiehandel
Langelinie 34C,5230 Odense M,3612500.0,2023,228,6,3,Familiehandel
Gammel Højmevej 235,"Bellinge, 5250 Odense SV",22186000.0,2023,250,8,1,Familiehandel
"Kragsbjergvej 15, 1.",5000 Odense C,739500.0,2023,95,3,1,Familiehandel
Hyacintvænget 5,"Ejlstrup, 5200 Odense V",949950.0,2023,90,3,1,Familiehandel
"Christiansgade 90, 4. tv.",5000 Odense C,940000.0,2023,62,2,1,Familiehandel
"Oppermannsvej 23, 1. tv.",5230 Odense M,825000.0,2023,71,2,1,Familiehandel
Herluf Trolles Vej 445,5220 Odense SØ,1625000.0,2023,163,4,2,Familiehandel
Kirkebakken 19,"Bellinge, 5250 Odense SV",1117000.0,2023,188,7,2,Familiehandel
"Gyldenløvesgade 8, 2. tv.",5000 Odense C,744000.0,2023,67,2,1,Familiehandel
Vestermarksvej 19,"Fangel, 5260 Odense S",1827500.0,2023,136,4,2,Familiehandel
Saxovej 109,"Tarup, 5210 Odense NV",1210000.0,2023,87,3,1,Familiehandel
"Dagmargade 7, st. tv.",5000 Odense C,640000.0,2023,62,2,1,Familiehandel
Sparretornvej 24,5230 Odense M,825000.0,2023,139,4,2,Familiehandel
Smallemålet 13,"Sanderum, 5250 Odense SV",2000000.0,2023,127,5,2,Familiehandel
"Roersvej 11, 3. tv.",5000 Odense C,780000.0,2023,74,3,1,Familiehandel
Østparken 14,"Fraugde, 5220 Odense SØ",957000.0,2023,97,5,1,Familiehandel
"Gormsgade 4, st.",5000 Odense C,1163000.0,2023,72,2,1,Familiehandel
Enggårdsvej 24,"Anderup, 5270 Odense N",816000.0,2023,96,3,1,Familiehandel
Giersingvænget 35,5220 Odense SØ,1200000.0,2023,108,4,1,Familiehandel
"Guldbergsvej 8, 1. tv.",5000 Odense C,1305000.0,2023,104,4,1,Familiehandel
"Lotusvej 2, 2. tv.","Sanderum, 5250 Odense SV",1600000.0,2023,91,3,1,Familiehandel
Gudrunvænget 7,"Næsby, 5270 Odense N",1500000.0,2023,135,5,2,Familiehandel
Hibiscusvej 80,5200 Odense V,1700000.0,2023,65,2,1,Familiehandel
Faaborgvej 61,"Dalum, 5250 Odense SV",1360000.0,2023,172,6,3,Familiehandel
Steinsgade 15H,5000 Odense C,1550000.0,2023,63,3,1,Familiehandel
Rådyrløkken 82,"Slukefter, 5210 Odense NV",815500.0,2023,135,4,2,Familiehandel
"Holmehusvej 89, 2. th.",5000 Odense C,620000.0,2023,66,2,1,Familiehandel
Mejlholmgade 61,5000 Odense C,1020000.0,2023,75,3,1,Familiehandel
Chr. Lehns Vænge 8G,"Næsbyhoved-Broby, 5270 Odense N",607500.0,2023,85,4,1,Familiehandel
"Buchwaldsgade 61C, 1. th.",5000 Odense C,520000.0,2023,58,2,1,Familiehandel
Ekkodalen 8,"Næsby, 5270 Odense N",1147500.0,2023,110,4,1,Familiehandel
Glentevej 26,5000 Odense C,850000.0,2023,178,6,2,Familiehandel
"Gyldenløvesgade 2B, 2. th.",5000 Odense C,466500.0,2023,56,2,1,Familiehandel
Flittig Lise Vej 82,"Bellinge, 5250 Odense SV",1375000.0,2023,185,7,2,Familiehandel
"Thuresensgade 33D, 3. th.",5000 Odense C,524000.0,2023,67,2,1,Familiehandel
Allerup Bygade 44,"Allerup, 5220 Odense SØ",4600000.0,2023,259,7,2,Familiehandel
Lungstedløkken 43,"Bellinge, 5250 Odense SV",1911616.0,2023,148,5,2,Familiehandel
Strandvejen 45,"Seden, 5240 Odense NØ",1312000.0,2023,101,5,1,Familiehandel
Nyvangsvej 13,5000 Odense C,1530000.0,2023,146,5,1,Familiehandel
"Hjallesevej 74, 1.",5230 Odense M,950000.0,2023,96,3,1,Familiehandel
"Hjallesevej 74, st.",5230 Odense M,1150000.0,2023,106,3,1,Familiehandel
"Guldbergsvej 12, st. th.",5000 Odense C,1400000.0,2023,59,2,1,Familiehandel
Morelvej 221,"Sanderum, 5250 Odense SV",1322500.0,2023,105,4,1,Familiehandel
Kærnehøjvej 122,"Højby, 5260 Odense S",1125000.0,2023,160,4,2,Familiehandel
"Sdr. Boulevard 58A, st.",5000 Odense C,1150000.0,2023,102,2,1,Familiehandel
Søparken 112,"Hjallese, 5260 Odense S",1142286.0,2023,169,6,2,Familiehandel
Tyge Rothes Vej 44,5230 Odense M,975794.0,2023,154,6,1,Familiehandel
Piavænget 6,"Næsby, 5270 Odense N",1150000.0,2023,122,5,1,Familiehandel
Muslingevej 5,"Seden, 5240 Odense NØ",1402500.0,2023,159,7,1,Familiehandel
Søhusvej 72,"Søhus, 5270 Odense N",1850000.0,2023,195,4,2,Familiehandel
Lucernevej 15,"Tarup, 5210 Odense NV",640000.0,2023,110,5,1,Familiehandel
"Malmøgade 12, 3. tv.",5000 Odense C,875000.0,2023,62,2,1,Familiehandel
Stenløsevej 214,"Hjallese, 5260 Odense S",734000.0,2023,110,4,1,Familiehandel
Bispeengen 56,"Anderup, 5270 Odense N",700000.0,2023,159,5,2,Familiehandel
Ugletoften 279,"Højby, 5260 Odense S",484940.0,2023,90,4,1,Familiehandel
